Zip,County,Rate
43272,Franklin,0.0675
43279,Franklin,0.0675
43287,Franklin,0.0675
43291,Franklin,0.0675
43301,Marion,0.07
43302,Crawford,0.07
43302,Marion,0.07
43302,Union,0.0675
43306,Marion,0.07
43310,Hardin,0.07
43310,Logan,0.07
43311,Logan,0.07
43314,Crawford,0.07
43314,Marion,0.07
43314,Morrow,0.07
43315,Marion,0.07
43315,Morrow,0.07
43316,Hancock,0.065
43316,Seneca,0.07
43316,Wyandot,0.07
43317,Morrow,0.07
43318,Champaign,0.07
43318,Logan,0.07
43319,Logan,0.07
43319,Union,0.0675
43320,Morrow,0.07
43321,Morrow,0.07
43322,Marion,0.07
43323,Wyandot,0.07
43324,Logan,0.07
43325,Morrow,0.07
43326,Hardin,0.07
43326,Marion,0.07
43330,Wyandot,0.07
43331,Auglaize,0.07
43331,Hardin,0.07
43331,Logan,0.07
43332,Hardin,0.07
43332,Marion,0.07
43332,Wyandot,0.07
43333,Logan,0.07
43334,Delaware,0.0675
43334,Morrow,0.07
43335,Marion,0.07
43336,Logan,0.07
43337,Marion,0.07
43337,Wyandot,0.07
43338,Morrow,0.07
43340,Hardin,0.07
43340,Union,0.0675
43341,Marion,0.07
43342,Delaware,0.0675
43342,Marion,0.07
43342,Union,0.0675
43343,Champaign,0.07
43343,Logan,0.07
43343,Shelby,0.07
43344,Delaware,0.0675
43344,Marion,0.07
43344,Union,0.0675
43345,Hardin,0.07
43345,Logan,0.07
43345,Union,0.0675
43346,Hardin,0.07
43347,Hardin,0.07
43347,Logan,0.07
43348,Logan,0.07
43349,Morrow,0.07
43350,Morrow,0.07
43351,Wyandot,0.07
43356,Delaware,0.0675
43356,Marion,0.07
43356,Morrow,0.07
43357,Champaign,0.07
43357,Logan,0.07
43358,Logan,0.07
43358,Union,0.0675
43359,Wyandot,0.07
43360,Logan,0.07
43402,Wood,0.065
43403,Wood,0.065
43406,Sandusky,0.07
43406,Wood,0.065
43407,Sandusky,0.07
43408,Ottawa,0.0675
43410,Sandusky,0.07
43412,Lucas,0.0675
43412,Ottawa,0.0675
43413,Wood,0.065
43414,Wood,0.065
